epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,945.011,0.44472,2.16627,1.1363,0.77789,0.79387,0.8803,0.81912,0.33987,0.78932,0.96129,0.00999579,0.00333193,0.00999579,0.00333193,0.00999579,0.00333193,0.00999579,0.00333193
2,1765.47,0.41771,1.10663,1.09015,0.86754,0.90486,0.95434,0.89492,0.34111,0.51367,0.94699,0.019006,0.00633533,0.019006,0.00633533,0.019006,0.00633533,0.019006,0.00633533
3,2521.95,0.43214,0.91812,1.09262,0.90809,0.88718,0.9535,0.89862,0.31367,0.49765,0.91102,0.0270262,0.00900874,0.0270262,0.00900874,0.0270262,0.00900874,0.0270262,0.00900874
4,3258.84,0.41596,0.75753,1.08396,0.94462,0.95136,0.9805,0.94103,0.28627,0.34292,0.88486,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3996.73,0.38149,0.62211,1.06468,0.96318,0.95936,0.98562,0.9557,0.26451,0.28567,0.84678,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,4734.59,0.3639,0.55576,1.05293,0.96423,0.97809,0.99026,0.96832,0.23823,0.23835,0.82144,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,5459.76,0.35198,0.50995,1.04856,0.98067,0.98417,0.99206,0.9739,0.22694,0.22653,0.80335,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,6189.59,0.34183,0.47788,1.04248,0.97312,0.98347,0.99077,0.9732,0.21934,0.2064,0.79426,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,6916.7,0.33219,0.45075,1.03673,0.98152,0.98479,0.9913,0.97587,0.21554,0.19663,0.78784,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,7654.24,0.32542,0.42873,1.03382,0.9809,0.98781,0.9921,0.97817,0.21499,0.19728,0.79326,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,8378.03,0.14866,0.2395,0.94229,0.98263,0.98526,0.99254,0.9867,0.1725,0.15983,0.74064,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,9095.59,0.13431,0.20799,0.9328,0.98456,0.9897,0.99296,0.98826,0.17574,0.15488,0.74098,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,9818.54,0.12713,0.18491,0.92705,0.98997,0.98647,0.99305,0.98926,0.16686,0.14475,0.73112,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,10546.8,0.12059,0.17053,0.92408,0.99006,0.99116,0.99295,0.98905,0.16283,0.14489,0.72866,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,11274.6,0.1146,0.15262,0.92028,0.99149,0.99198,0.99281,0.98935,0.16784,0.15814,0.73373,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,12006,0.11002,0.13843,0.91811,0.9923,0.99079,0.99327,0.99042,0.15469,0.13017,0.71969,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,12730.9,0.10488,0.12544,0.91346,0.99335,0.99077,0.9932,0.99033,0.16342,0.14877,0.72831,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,13452.3,0.10086,0.1148,0.91222,0.99385,0.9923,0.99291,0.99056,0.15573,0.14228,0.72124,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,14174.5,0.09697,0.10274,0.91037,0.9929,0.99443,0.993,0.99051,0.15902,0.14405,0.72522,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,14889,0.092,0.09296,0.90715,0.99297,0.99351,0.99299,0.99034,0.16626,0.15025,0.7323,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
